"","Bed","TV","Shy","HrdClm","MClose","MLeave","CID","Male","MEd","Math98","RComp98","Alc12","Cprob1","Cprob2","Cprob3","Class","class1","class2","class3"
"1",0,0,1,1,1,1,1002,0,9,NA,NA,NA,0,1,0,2,0,1,0
"2",1,1,0,0,0,0,2701,0,16,102,110,7,0.963,0,0.037,1,1,0,0
"3",1,1,1,0,0,0,5002,1,12,107,110,NA,0.959,0,0.041,1,1,0,0
"4",1,1,1,0,1,0,5803,1,17,112,114,NA,0.963,0.003,0.034,1,1,0,0
"5",1,0,0,0,0,0,9503,1,12,121,118,7,0,0.001,0.999,3,0,0,1
"6",1,1,0,0,0,0,12401,0,15,113,103,5,0.963,0,0.037,1,1,0,0
"7",1,1,1,0,1,0,13701,1,16,126,113,8,0.963,0.003,0.034,1,1,0,0
"8",0,0,1,0,1,0,14302,1,12,NA,NA,3,0,0.116,0.884,3,0,0,1
"9",1,1,1,1,1,0,15802,1,16,93,108,NA,0.885,0.046,0.068,1,1,0,0
"10",1,1,1,1,1,1,16501,0,12,102,116,4,0.582,0.418,0,1,1,0,0
"11",1,1,1,0,1,0,23601,1,13,125,114,7,0.963,0.003,0.034,1,1,0,0
"12",1,1,1,0,1,0,29302,1,13,103,116,NA,0.963,0.003,0.034,1,1,0,0
"13",1,1,1,1,0,0,31405,0,12,NA,NA,4,0.912,0.002,0.086,1,1,0,0
"14",1,1,0,0,1,0,32201,1,12,NA,NA,6,0.969,0.001,0.03,1,1,0,0
"15",0,0,1,1,1,0,33302,1,12,97,93,5,0,0.49,0.51,3,0,0,1
"16",1,0,0,1,1,0,34003,0,12,99,97,1,0,0.207,0.793,3,0,0,1
"17",1,1,0,0,1,1,34501,0,16,NA,NA,NA,0.986,0.014,0,1,1,0,0
"18",1,1,0,1,1,0,40102,0,8,89,101,5,0.922,0.016,0.063,1,1,0,0
"19",0,0,0,0,1,0,41801,1,13,110,107,7,0,0.046,0.954,3,0,0,1
"20",1,1,1,0,1,0,49402,1,14,113,103,NA,0.963,0.003,0.034,1,1,0,0
"21",0,1,1,1,0,0,49502,0,12,99,109,6,0.198,0.022,0.781,3,0,0,1
"22",0,0,1,1,1,0,51502,1,16,NA,NA,NA,0,0.49,0.51,3,0,0,1
"23",1,1,0,1,0,0,55701,1,17,107,105,5,0.922,0.001,0.077,1,1,0,0
"24",1,1,0,0,1,0,57401,0,17,NA,NA,NA,0.969,0.001,0.03,1,1,0,0
"25",1,1,1,0,1,0,57901,0,12,116,110,5,0.963,0.003,0.034,1,1,0,0
"26",0,0,1,1,1,0,61502,1,10,91,110,6,0,0.49,0.51,3,0,0,1
"27",1,1,1,0,1,0,61906,0,10,96,93,NA,0.963,0.003,0.034,1,1,0,0
"28",0,0,1,1,1,1,64201,0,12,94,77,NA,0,1,0,2,0,1,0
"29",1,1,1,0,1,0,66001,0,14,123,107,NA,0.963,0.003,0.034,1,1,0,0
"30",1,1,0,0,1,0,66401,0,17,125,120,6,0.969,0.001,0.03,1,1,0,0
"31",1,0,1,1,0,0,66802,1,12,NA,NA,NA,0,0.022,0.978,3,0,0,1
"32",0,0,0,1,1,0,71302,0,12,104,118,2,0,0.26,0.74,3,0,0,1
"33",1,1,0,0,1,0,72402,1,14,111,118,8,0.969,0.001,0.03,1,1,0,0
"34",1,1,1,0,1,0,76404,1,12,116,107,7,0.963,0.003,0.034,1,1,0,0
"35",1,1,0,0,0,0,77901,0,14,110,118,2,0.963,0,0.037,1,1,0,0
"36",1,1,0,0,0,0,82901,0,18,94,116,6,0.963,0,0.037,1,1,0,0
"37",0,0,1,1,1,0,83402,0,12,100,87,1,0,0.49,0.51,3,0,0,1
"38",1,1,1,1,0,0,83602,1,8,114,103,7,0.912,0.002,0.086,1,1,0,0
"39",1,0,1,1,1,0,90001,1,15,107,109,1,0,0.417,0.583,3,0,0,1
"40",0,0,1,0,1,0,93503,1,12,100,111,8,0,0.116,0.884,3,0,0,1
"41",1,1,1,0,1,1,94201,1,12,120,112,1,0.957,0.043,0,1,1,0,0
"42",1,1,1,0,1,0,100504,0,10,105,106,NA,0.963,0.003,0.034,1,1,0,0
"43",0,0,1,0,1,0,103901,1,15,105,110,5,0,0.116,0.884,3,0,0,1
"44",1,1,1,0,0,0,106502,1,12,105,103,5,0.959,0,0.041,1,1,0,0
"45",1,1,1,0,1,0,110102,0,19,NA,NA,NA,0.963,0.003,0.034,1,1,0,0
"46",1,1,1,0,1,0,111601,1,14,112,116,5,0.963,0.003,0.034,1,1,0,0
